0.00.097.565 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.207.184 I srv          init: The UI is disabled
0.00.207.187 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.224.153 I srv    load_model: loading model 'E:/Apps/LLM/Models/unsloth/Qwen3.6-35B-A3B-MTP-GGUF/Qwen3.6-35B-A3B-UD-Q4_K_S.gguf'
0.00.449.024 E llama_init_from_model: failed to initialize the context: dflash requires ctx_other to be set (this warning is normal during memory fitting)
0.00.478.513 W srv    load_model: [spec] failed to measure draft model memory: failed to create llama_context from model
0.01.021.826 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.05.919.454 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 102400, kv_unified = 'true'
0.05.919.474 I common_speculative_impl_draft_dflash: adding speculative implementation 'draft-dflash'
0.05.919.476 I common_speculative_impl_draft_dflash: - n_max=5, n_min=0, p_min=0.00
0.05.919.476 I common_speculative_impl_draft_dflash: - block_size=16, mask_token_id=248077, n_extract=8
0.06.284.967 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.06.284.994 I srv  llama_server: model loaded
0.06.284.996 I srv  llama_server: listening on http://127.0.0.1:18098
0.06.947.161 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.06.947.190 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.11.172.498 I slot print_timing: id  0 | task 0 | prompt eval time =    1862.88 ms /    19 tokens (   98.05 ms per token,    10.20 tokens per second)
0.11.172.504 I slot print_timing: id  0 | task 0 |        eval time =    2362.41 ms /    16 tokens (  147.65 ms per token,     6.77 tokens per second)
0.11.172.506 I slot print_timing: id  0 | task 0 |       total time =    4225.28 ms /    35 tokens
0.11.172.507 I slot print_timing: id  0 | task 0 |    graphs reused =          6
0.11.172.514 I slot print_timing: id  0 | task 0 | draft acceptance = 0.20000 (    7 accepted /    35 generated), mean len =  2.00
0.11.172.561 I slot      release: id  0 | task 0 | stop processing: n_tokens = 34, truncated = 0
0.12.290.079 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 6545784
0.12.306.862 I slot launch_slot_: id  0 | task 10 | processing task, is_child = 0
0.35.570.024 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   2048, progress = 0.23, t =  23.26 s / 88.04 tokens per second
0.39.894.256 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   4096, progress = 0.46, t =  27.59 s / 148.47 tokens per second
0.43.161.428 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   6144, progress = 0.68, t =  30.85 s / 199.13 tokens per second
0.48.563.010 I slot print_timing: id  0 | task 10 | prompt processing, n_tokens =   8192, progress = 0.91, t =  36.26 s / 225.95 tokens per second
0.53.588.203 I slot print_timing: id  0 | task 10 | prompt eval time =   41281.31 ms /  9001 tokens (    4.59 ms per token,   218.04 tokens per second)
0.53.588.212 I slot print_timing: id  0 | task 10 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token, 1000000.00 tokens per second)
0.53.588.213 I slot print_timing: id  0 | task 10 |       total time =   41281.31 ms /  9002 tokens
0.53.588.214 I slot print_timing: id  0 | task 10 |    graphs reused =          6
0.53.588.734 I slot      release: id  0 | task 10 | stop processing: n_tokens = 9001, truncated = 0
0.54.583.132 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 1.000
0.54.583.240 I slot launch_slot_: id  0 | task 16 | processing task, is_child = 0
0.59.334.836 I slot print_timing: id  0 | task 16 | prompt processing, n_tokens =   2048, progress = 0.23, t =   4.75 s / 431.01 tokens per second
1.25.608.889 I slot print_timing: id  0 | task 16 | prompt processing, n_tokens =   4096, progress = 0.46, t =  31.03 s / 132.02 tokens per second
1.28.113.414 I slot print_timing: id  0 | task 16 | prompt processing, n_tokens =   6144, progress = 0.68, t =  33.53 s / 183.24 tokens per second
1.31.283.629 I slot print_timing: id  0 | task 16 | prompt processing, n_tokens =   8192, progress = 0.91, t =  36.70 s / 223.21 tokens per second
1.39.892.756 I slot print_timing: id  0 | task 16 | prompt eval time =   45309.49 ms /  9001 tokens (    5.03 ms per token,   198.66 tokens per second)
1.39.892.762 I slot print_timing: id  0 | task 16 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token, 1000000.00 tokens per second)
1.39.892.763 I slot print_timing: id  0 | task 16 |       total time =   45309.49 ms /  9002 tokens
1.39.892.764 I slot print_timing: id  0 | task 16 |    graphs reused =          6
1.39.892.882 I slot      release: id  0 | task 16 | stop processing: n_tokens = 9001, truncated = 0
1.40.897.306 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 95266107
1.40.992.705 I slot launch_slot_: id  0 | task 22 | processing task, is_child = 0
1.51.211.957 I slot print_timing: id  0 | task 22 | n_decoded =    103, tg =  10.25 t/s, tg_3s =  10.25 t/s
1.54.268.708 I slot print_timing: id  0 | task 22 | n_decoded =    118, tg =   9.00 t/s, tg_3s =   4.91 t/s
1.57.481.284 I slot print_timing: id  0 | task 22 | n_decoded =    134, tg =   8.21 t/s, tg_3s =   4.98 t/s
2.00.492.611 I slot print_timing: id  0 | task 22 | n_decoded =    144, tg =   7.45 t/s, tg_3s =   3.32 t/s
